ID,Name,Description,Level,MonsterType,IsAggressive,IsRanged,AttackSpeed,MoveSpeed,DetectionRange,strBonus,DexBonus,IntBonus,lukBonus,tecBonus,DropExp,DropGold,DropItemTable,Index
monster_1000001,새싹 고양이,이제 막 마나로 형성된 아기 고양이. 호기심 가득한 눈으로 주변을 탐색한다.,1,Normal,FALSE,FALSE,0.8,1,5,2,1,0,1,0,5,2,gold_coin:1:100;mana_mass:1:20,1
monster_1000002,나뭇잎 고양이,나뭇잎을 몸에 감싸고 있는 고양이. 숲의 기운을 머금고 있다.,2,Normal,FALSE,FALSE,0.9,1,6,3,2,1,1,0,7,4,gold_coin:1:100;herb:1:30;mana_mass:1:20,2
monster_1000003,들꽃 고양이,들꽃처럼 작고 귀여운 고양이. 공격성이 거의 없다.,3,Normal,FALSE,FALSE,0.8,1,5,2,3,1,2,0,10,5,gold_coin:1:100;yellow_flower:1:20;mana_mass:1:20,3
monster_2000004,숲의 고양이,숲의 기운을 가진 고양이,9,Elite,FALSE,FALSE,0.5,1.2,7,9,9,8,9,9,50,10,gold_coin:5:100;mana_mass:5:20;forest_mana_mass:1:10,4
monster_Error000005,,,,,,,,,,,,,,,,,,5
monster_Error000006,,,,,,,,,,,,,,,,,,6
monster_Error000007,,,,,,,,,,,,,,,,,,7
monster_Error000008,,,,,,,,,,,,,,,,,,8
monster_Error000009,,,,,,,,,,,,,,,,,,9
monster_Error000010,,,,,,,,,,,,,,,,,,10
monster_Error000011,,,,,,,,,,,,,,,,,,11
monster_Error000012,,,,,,,,,,,,,,,,,,12
monster_Error000013,,,,,,,,,,,,,,,,,,13
monster_Error000014,,,,,,,,,,,,,,,,,,14
monster_Error000015,,,,,,,,,,,,,,,,,,15
monster_Error000016,,,,,,,,,,,,,,,,,,16
monster_Error000017,,,,,,,,,,,,,,,,,,17
monster_Error000018,,,,,,,,,,,,,,,,,,18
monster_Error000019,,,,,,,,,,,,,,,,,,19
monster_Error000020,,,,,,,,,,,,,,,,,,20
monster_Error000021,,,,,,,,,,,,,,,,,,21
monster_Error000022,,,,,,,,,,,,,,,,,,22
monster_Error000023,,,,,,,,,,,,,,,,,,23
monster_Error000024,,,,,,,,,,,,,,,,,,24
monster_Error000025,,,,,,,,,,,,,,,,,,25
monster_Error000026,,,,,,,,,,,,,,,,,,26
monster_Error000027,,,,,,,,,,,,,,,,,,27
monster_Error000028,,,,,,,,,,,,,,,,,,28
monster_Error000029,,,,,,,,,,,,,,,,,,29
monster_Error000030,,,1,,,,,,,,,,,,,,,30
monster_Error000031,,,1,,,,,,,,,,,,,,,31
monster_Error000032,,,1,,,,,,,,,,,,,,,32
monster_Error000033,,,1,,,,,,,,,,,,,,,33
monster_Error000034,,,1,,,,,,,,,,,,,,,34
monster_Error000035,,,1,,,,,,,,,,,,,,,35
monster_Error000036,,,1,,,,,,,,,,,,,,,36
monster_Error000037,,,1,,,,,,,,,,,,,,,37
monster_Error000038,,,1,,,,,,,,,,,,,,,38
monster_Error000039,,,1,,,,,,,,,,,,,,,39
monster_Error000040,,,1,,,,,,,,,,,,,,,40
monster_Error000041,,,1,,,,,,,,,,,,,,,41
monster_Error000042,,,1,,,,,,,,,,,,,,,42
monster_Error000043,,,1,,,,,,,,,,,,,,,43
monster_Error000044,,,1,,,,,,,,,,,,,,,44
monster_Error000045,,,1,,,,,,,,,,,,,,,45
monster_Error000046,,,1,,,,,,,,,,,,,,,46
monster_Error000047,,,1,,,,,,,,,,,,,,,47
monster_Error000048,,,1,,,,,,,,,,,,,,,48
monster_Error000049,,,1,,,,,,,,,,,,,,,49
monster_Error000050,,,1,,,,,,,,,,,,,,,50
monster_Error000051,,,1,,,,,,,,,,,,,,,51
monster_Error000052,,,1,,,,,,,,,,,,,,,52
monster_Error000053,,,1,,,,,,,,,,,,,,,53
monster_Error000054,,,1,,,,,,,,,,,,,,,54
monster_Error000055,,,1,,,,,,,,,,,,,,,55
monster_Error000056,,,1,,,,,,,,,,,,,,,56
monster_Error000057,,,1,,,,,,,,,,,,,,,57
monster_Error000058,,,1,,,,,,,,,,,,,,,58
monster_Error000059,,,1,,,,,,,,,,,,,,,59
monster_Error000060,,,1,,,,,,,,,,,,,,,60
monster_Error000061,,,1,,,,,,,,,,,,,,,61
monster_Error000062,,,1,,,,,,,,,,,,,,,62
monster_Error000063,,,1,,,,,,,,,,,,,,,63
monster_Error000064,,,1,,,,,,,,,,,,,,,64
monster_Error000065,,,1,,,,,,,,,,,,,,,65
monster_Error000066,,,1,,,,,,,,,,,,,,,66
monster_Error000067,,,1,,,,,,,,,,,,,,,67
monster_Error000068,,,1,,,,,,,,,,,,,,,68
monster_Error000069,,,1,,,,,,,,,,,,,,,69
monster_Error000070,,,1,,,,,,,,,,,,,,,70
monster_Error000071,,,1,,,,,,,,,,,,,,,71
monster_Error000072,,,1,,,,,,,,,,,,,,,72
monster_Error000073,,,1,,,,,,,,,,,,,,,73
monster_Error000074,,,1,,,,,,,,,,,,,,,74
monster_Error000075,,,1,,,,,,,,,,,,,,,75
monster_Error000076,,,1,,,,,,,,,,,,,,,76
monster_Error000077,,,1,,,,,,,,,,,,,,,77
monster_Error000078,,,1,,,,,,,,,,,,,,,78
monster_Error000079,,,1,,,,,,,,,,,,,,,79
monster_Error000080,,,1,,,,,,,,,,,,,,,80
monster_Error000081,,,1,,,,,,,,,,,,,,,81
monster_Error000082,,,1,,,,,,,,,,,,,,,82
monster_Error000083,,,1,,,,,,,,,,,,,,,83
monster_Error000084,,,1,,,,,,,,,,,,,,,84
monster_Error000085,,,1,,,,,,,,,,,,,,,85
monster_Error000086,,,1,,,,,,,,,,,,,,,86
monster_Error000087,,,1,,,,,,,,,,,,,,,87
monster_Error000088,,,1,,,,,,,,,,,,,,,88
monster_Error000089,,,1,,,,,,,,,,,,,,,89
monster_Error000090,,,1,,,,,,,,,,,,,,,90
monster_Error000091,,,1,,,,,,,,,,,,,,,91
monster_Error000092,,,1,,,,,,,,,,,,,,,92
monster_Error000093,,,1,,,,,,,,,,,,,,,93
monster_Error000094,,,1,,,,,,,,,,,,,,,94
monster_Error000095,,,1,,,,,,,,,,,,,,,95
monster_Error000096,,,1,,,,,,,,,,,,,,,96
monster_Error000097,,,1,,,,,,,,,,,,,,,97
monster_Error000098,,,1,,,,,,,,,,,,,,,98
monster_Error000099,,,1,,,,,,,,,,,,,,,99
monster_Error000100,,,1,,,,,,,,,,,,,,,100
